Generation,Points,Steps,Ray Radius,Sight,Moving Speed,Box Weight,Weight
0,2,22,16,31.61517,4.899052,1,-2.404845
1,2,19,18,29.85893,6.128577,1,0
2,2,19,18,29.61859,8.051305,1,0
3,2,21,18,31.80847,7.295699,2.615171,-2.176802
4,2,24,16,26.7853,5,3.808406,0
5,2,17,18,34.04575,6.43438,0.2275231,0.2988949
6,4,19,18,26.07989,7.910895,1,0
7,4,21,18,34.05502,5.627873,5.655551,-0.3334064
8,2,21,15,34.05502,5.627873,5.655551,-1.807694
9,4,19,18,28.32644,7.770486,1,0
10,2,17,18,28.32644,7.770486,-2.158001,0
11,4,19,18,27.68037,7.630076,1,0
12,6,21,16,33.36974,11.11008,5.991929,-5.099507
13,6,21,16,32.83888,12.78035,5.991929,-5.099507
14,4,23,16,33.03929,13.75372,5.991929,-7.276309
15,6,21,16,30.26834,12.78035,5.991929,-5.099507
16,4,23,16,29.85615,13.50126,5.991929,-7.276309
17,4,21,16,27.37571,11.25294,9.032309,-3.256111
18,4,23,16,27.2856,11.97385,9.032309,-5.432913
19,6,25,16,26.87341,12.69476,9.032309,-7.609715
20,4,19,16,26.79564,13.57097,9.68504,-1.113821
21,4,25,16,24.30286,12.69476,9.032309,-7.609715
22,4,19,16,26.71391,10.12083,12.72542,0.7295752
23,4,21,16,26.94587,13.89657,6.64466,-5.134018
24,4,19,13,26.71391,10.12083,12.72542,-0.7447122
25,4,23,16,29.13575,13.14097,8.259831,-7.310821
26,6,25,16,29.04564,13.86188,8.259831,-9.487623
27,6,21,12,24.91215,16.70498,4.552355,-6.608306
28,4,27,16,28.95552,13.05537,11.30021,-9.82103
29,4,23,16,29.11408,11.52215,9.782597,-9.057558
30,4,25,16,29.02397,12.24306,9.782597,-11.23436
31,6,27,16,28.93385,12.96397,9.782597,-13.41116
32,4,27,16,28.69351,13.35929,12.82298,-11.56777
33,6,25,16,28.37982,12.24306,9.782597,-11.23436
34,4,23,12,27.98686,14.17325,10.63312,-5.098317
35,4,25,16,25.80927,12.24306,9.782597,-11.23436
36,4,25,16,25.80927,12.24306,9.782597,-11.23436
37,4,27,16,31.45453,9.711339,15.86336,-9.724371
38,4,27,16,27.64555,11.43656,12.82298,-11.56777
39,4,25,16,24.98451,9.740848,15.96091,-11.1377
40,6,25,16,22.1139,14.5611,12.82298,-9.390965
41,4,27,16,30.30769,8.736539,19.00129,-11.47111
42,4,25,16,25.13909,13.7546,13.47571,-9.425476
43,4,25,16,22.00612,15.67732,13.47571,-9.425476
44,4,25,16,25.13909,12.22718,16.51609,-7.58208
45,4,25,16,24.2546,15.67732,13.47571,-9.425476
46,4,25,16,21.68405,15.67732,13.47571,-9.425476
47,4,25,16,26.32581,14.34367,18.13126,-7.58208
48,6,25,16,21.44371,17.60005,13.47571,-9.425476
49,4,27,16,23.63363,16.54109,16.51609,-9.758883
50,6,27,16,23.31155,16.54109,16.51609,-9.758883
51,4,25,16,23.72374,15.82018,16.51609,-7.58208
52,6,25,16,20.31954,16.54109,14.12844,-9.459988
53,4,27,16,23.63363,16.54109,16.51609,-9.758883
54,4,25,16,23.40166,15.82018,16.51609,-7.58208
55,6,25,16,23.40166,15.82018,16.51609,-7.58208
56,4,25,16,23.07959,15.82018,16.51609,-7.58208
57,6,25,16,20.50904,15.82018,16.51609,-7.58208
58,6,27,16,20.41893,16.54109,16.51609,-9.758883
59,4,29,16,20.32881,15.73458,19.55647,-10.09229
60,6,29,16,19.7664,17.65731,19.55647,-10.09229
61,4,31,16,20.2387,16.45549,19.55647,-12.26909
62,4,31,16,20.2387,16.45549,19.55647,-12.26909
63,6,33,16,22.10651,15.69989,21.17164,-14.44589
64,4,33,16,19.21389,15.69989,21.17164,-14.44589
65,4,31,16,16.64334,15.69989,18.01364,-14.44589
66,4,33,16,16.64334,15.69989,21.17164,-14.44589
67,4,33,16,16.64334,15.69989,21.17164,-14.44589
68,4,33,18,16.64334,15.69989,24.14388,-12.71769
69,4,33,18,16.403,17.62261,24.14388,-12.71769
70,4,33,18,16.403,17.62261,24.14388,-12.71769
71,4,35,18,16.31288,18.34352,24.14388,-14.89449
72,4,31,18,15.84058,19.54534,20.98588,-12.71769
73,2,35,17,13.71675,23.07466,24.14388,-14.89449
74,2,35,16,9.112481,25.88306,24.14388,-14.89449
75,4,33,18,13.39989,25.60949,21.32226,-18.1863
76,2,35,18,10.50727,25.60949,24.48026,-18.1863
77,4,33,19,13.08304,28.14431,21.65863,-21.47811
78,2,33,17,10.90586,24.99739,20.98588,-14.89449
79,2,33,17,11.1462,23.07466,20.98588,-14.89449
80,2,35,17,5.360955,23.07466,24.14388,-14.89449
81,2,33,18,9.112481,25.88306,23.95811,-13.16628
82,2,33,14,8.013236,24.99739,20.98588,-16.36877
83,2,33,20,6.219859,25.88306,26.93035,-11.43807
84,0,33,22,6.219859,25.88306,29.90259,-9.709867
85,2,33,23,5.903006,28.41789,30.23897,-13.00168
86,2,31,15,5.657443,27.80579,23.95811,-15.39864
87,2,33,25,3.010384,28.41789,33.2112,-11.27347
88,2,33,25,2.68831,28.41789,33.2112,-11.27347
89,2,33,24,3.327237,25.88306,32.87482,-7.981661
90,0,33,24,2.742813,22.98554,36.01276,-9.728398
91,2,32,14,4.094276,29.72852,26.93035,-14.87789
92,2,33,24,2.158388,20.08801,39.1507,-11.47513
93,0,33,26,2.158388,20.08801,42.12293,-9.746929
94,2,28,14,6.374273,28.252,28.54552,-16.39404
95,2,26,14,6.133933,30.17473,25.38752,-16.39404
96,2,28,11,6.374273,28.252,28.54552,-17.86832
97,2,24,13,6.620551,29.5839,30.16069,-17.91018
98,2,22,14,5.761648,26.77549,27.00269,-17.91018
99,2,26,11,4.023701,33.59524,25.7239,-21.16014
100,2,27,11,7.00099,29.41913,27.00269,-20.53637
101,2,22,11,0.1,26.77549,27.00269,-19.38447
102,2,27,11,6.760649,31.34185,27.00269,-20.53637
103,2,17,8,2.769636,26.77549,21.45704,-19.08558
104,2,25,8,6.760649,31.34185,23.84469,-22.01065
105,2,27,8,0.8998328,37.84435,27.00269,-20.53637
106,4,25,8,6.176225,28.44433,26.98263,-23.75739
107,6,27,8,0.1,34.94682,30.14063,-22.2831
108,6,23,5,6.176225,28.44433,23.82463,-25.23168
109,2,27,8,0.1,34.94682,30.14063,-22.2831
110,6,23,5,8.422775,28.30392,21.73232,-25.23168
111,4,27,7,0.1,37.75522,30.14063,-22.2831
112,2,25,8,0.1,32.04929,30.12056,-24.02984
113,4,27,7,0.1,39.4255,28.04832,-22.2831
114,4,26,4,0.1,39.4255,25.95602,-22.2831
115,4,24,4,2.379997,37.94898,26.5055,-22.2831
116,4,24,4,1.795572,35.05145,29.64343,-24.02984
117,4,24,3,2.592828,40.61698,26.5055,-22.2831
118,4,26,3,0.1,39.4255,23.35202,-24.29884
119,2,24,5,0.1,39.78259,32.61567,-22.30163
120,4,26,2,0.312831,42.09349,23.35202,-24.29884
121,4,26,3,0.1,41.09577,17.92613,-24.29884
122,4,26,3,0.1,41.09577,14.59255,-24.29884
123,6,22,6,1.231111,42.39319,32.4299,-20.57343
124,4,21,4,1.942004,39.58478,29.2719,-21.78088
125,2,21,4,1.357579,36.68726,32.40984,-23.52762
126,4,25,1,3.26483,40.80885,17.73049,-26.04558
127,4,26,2,2.687623,45.42649,17.73049,-26.04558
128,4,24,2,3.056045,42.47912,17.73049,-26.80365
129,6,25,1,5.336042,41.00261,17.25336,-26.04558
130,4,26,1,2.687623,43.89908,20.77087,-25.67647
131,6,26,1,2.478839,47.09677,17.73049,-27.93861
132,4,26,1,4.934173,42.23125,23.81125,-23.83307
133,6,26,3,2.478839,47.09677,20.70273,-26.2104
134,4,28,3,2.179941,49.48795,20.70273,-28.38721
135,4,26,4,2.238498,47.49208,22.44111,-24.42836
136,4,26,2,0.1,53.57346,17.54473,-28.38721
137,6,26,2,0.1,53.57346,14.21115,-28.38721
138,6,26,4,4.428381,48.26389,21.0159,-29.20663
139,4,26,4,1.625873,46.01556,21.96397,-24.42836
140,6,26,5,0.1,53.57346,15.88138,-26.72035
141,4,24,2,0.1,55.24373,7.71957,-28.38721
142,6,26,4,1.25745,47.43552,21.67077,-22.58496
143,8,26,4,1.385532,46.41087,21.67077,-22.58496
144,6,27,1,2.379997,55.43963,15.53312,-27.75126
145,4,26,2,0.1,56.91615,13.91795,-26.96256
146,4,27,1,1.795572,52.54211,18.67106,-29.498
147,4,26,3,0.1,54.01862,15.75389,-28.77065
148,6,26,3,0.1,54.01862,12.42031,-28.77065
149,6,26,3,0.1,54.01862,9.086731,-28.77065
150,6,22,3,0.1,57.92356,11.74906,-28.11208
151,8,22,3,0.1,57.92356,8.415483,-28.11208
152,6,22,3,0.1,55.02603,11.55342,-29.85882
153,4,23,1,0.2468875,56.68241,16.59658,-29.26046
154,10,23,1,0.2468875,56.68241,13.263,-29.26046
155,4,20,3,0.1,56.6963,11.729,-29.85882
156,6,20,3,1.733925,53.40911,13.16859,-30.61689
157,6,20,4,2.379997,57.75462,13.68055,-33.15063
158,6,20,4,2.379997,57.75462,10.34697,-33.15063
