Generation,Points,Steps,Ray Radius,Sight,Moving Speed,Box Weight,Weight
0,0.2,22,16,30,4,1,2
1,5,22,14,30,4,1,1.11718
2,5,22,14,30,4,1.676413,2.062363
3,10,22,14,30,4,1.676413,2.36754
4,5,22,12,30,4,2.352825,2.124727
5,5,22,12,30,4,1.676413,2.73508
6,10,22,17,29.34974,4,6.961472,-0.752197
7,5.1,22,17,29.34974,4,6.961472,-0.4470203
8,5,22,11,30,4,3.511882,2.859807
9,0.1,22,11,30,4,4.188294,2.859807
10,5,22,11,30,2.392011,6.41834,2.859807
11,10,22,11,29.34974,4,8.314297,-0.5651069
12,5,22,12,30,4,6.700176,2.92217
13,5.1,22,12,30,4,6.700176,3.227347
14,0.1,22,12,30,4,7.376589,3.227347
15,0.2,21,14,29.8945,4.84398,7.376589,2.92217
16,5,21,14,29.8945,4.84398,7.376589,3.227347
17,5,21,14,29.8945,4.84398,7.376589,3.532524
18,0.2,19,14,29.8945,4.84398,8.053001,2.92217
19,0.2,21,12,29.8945,4.84398,8.053001,3.532524
20,0.1,21,12,29.8945,4.84398,8.729414,3.532524
21,0.2,20,14,29.78901,5.68796,8.053001,3.532524
22,0.2,20,12,29.8945,4.84398,9.405827,3.532524
23,5,20,12,29.8945,4.84398,9.405827,3.837701
24,0.1,20,12,29.8945,4.84398,10.08224,3.837701
25,5,20,13,29.8945,4.84398,11.91771,3.532524
26,0.2,20,10,29.8945,4.84398,10.08224,4.142878
27,5,20,10,29.8945,4.84398,10.08224,4.448054
28,5,20,10,29.8945,3.235991,12.31228,4.448054
29,5,20,13,29.8945,4.84398,12.59412,4.448054
30,5,20,8,29.8945,3.235991,12.31228,4.815595
31,0.1,20,8,29.8945,3.235991,12.9887,4.815595
32,5,20,11,29.8945,3.235991,14.14775,4.815595
33,0.1,20,11,29.8945,3.235991,14.82417,4.815595
34,5,20,14,29.8945,3.235991,15.98322,5.120771
35,0.1,20,14,29.8945,3.235991,16.65964,5.120771
36,0.1,20,14,29.8945,3.235991,17.33605,5.120771
37,5,20,15,29.8945,3.235991,17.81869,5.425948
38,5,20,17,29.8945,3.235991,19.84793,5.120771
39,5,20,17,29.8945,3.235991,19.84793,5.425948
40,0.1,20,17,29.8945,3.235991,20.52434,5.425948
41,5,20,18,29.8945,3.235991,22.35981,5.120771
42,5,20,18,29.8945,3.235991,22.35981,5.425948
43,5,20,16,29.8945,3.235991,23.03622,5.183135
44,5,20,21,29.8945,3.235991,24.19528,5.731125
45,5,20,19,29.8945,3.235991,24.87169,5.488312
46,0.1,20,19,29.8945,3.235991,25.5481,5.488312
47,5,20,22,29.8945,3.235991,26.70716,5.731125
48,5,20,17,29.8945,3.235991,26.22452,5.550675
49,0.1,20,17,29.8945,3.235991,26.90093,5.550675
50,0.1,20,17,29.8945,3.235991,27.57734,5.550675
51,0.1,20,17,29.8945,3.235991,28.25375,5.550675
52,0.1,20,17,29.8945,3.235991,28.93017,5.550675
53,0.1,20,17,29.8945,3.235991,29.60658,5.550675
54,0.1,20,17,29.8945,3.235991,30.28299,5.550675
55,0.1,20,17,29.8945,3.235991,30.9594,5.550675
56,5,20,15,29.8945,3.235991,30.28299,5.613039
57,0.1,20,15,29.8945,3.235991,30.9594,5.613039
58,5.1,20,15,29.8945,3.235991,30.9594,5.918216
59,0.1,20,15,29.8945,3.235991,31.63582,5.918216
60,0.1,20,15,29.8945,3.235991,32.31223,5.918216
61,5,20,15,29.8945,3.235991,34.64433,5.918216
62,5,20,13,29.8945,3.235991,32.98864,5.980579
63,0.1,20,13,29.8945,3.235991,33.66506,5.980579
64,0.1,20,13,29.8945,3.235991,34.34147,5.980579
65,0.1,20,13,29.8945,3.235991,35.01789,5.980579
66,0.1,20,13,29.8945,3.235991,35.6943,5.980579
67,0.1,20,13,29.8945,3.235991,36.37072,5.980579
68,0.1,20,13,29.8945,3.235991,37.04713,5.980579
69,0.1,20,13,29.8945,3.235991,37.72355,5.980579
70,0.1,20,13,29.8945,3.235991,38.39996,5.980579
71,0.1,20,13,29.8945,3.235991,39.07637,5.980579
72,0.1,20,13,29.8945,3.235991,39.75279,5.980579
73,0.1,20,13,29.8945,3.235991,40.4292,5.980579
74,0.1,20,13,29.8945,3.235991,41.10562,5.980579
75,0.1,20,13,29.8945,3.235991,41.78203,5.980579
76,0.1,20,13,29.8945,3.235991,42.45845,5.980579
77,0.1,20,13,29.8945,3.235991,43.13486,5.980579
78,0.1,20,13,29.8945,3.235991,43.81128,5.980579
