Generation,Points,Steps,Ray Radius,Sight,Moving Speed,Box Weight,Weight
0,2,22,16,31.61517,4.899052,1,-2.404845
1,2,19,15,27.96628,7.808406,1,-1.527417
2,4,22,16,29.75966,6.922728,1,-2.892622
3,2,22,16,29.51932,7.318038,4.04038,-1.049226
4,4,19,12,24.86487,9.478681,1,-3.001704
5,4,19,9,24.86487,9.478681,1,-4.475992
6,4,21,10,29.51932,7.318038,4.04038,-2.523514
7,4,22,12,27.24526,12.04917,4.04038,-2.523514
8,4,22,13,26.14601,11.16349,4.04038,-2.523514
9,4,22,13,25.90567,13.08622,4.04038,-2.523514
10,4,22,10,26.14601,11.16349,4.04038,-3.997801
11,4,21,10,26.6267,7.318038,0.7068024,-2.523514
12,6,22,10,26.14601,11.16349,0.7068024,-3.997801
13,4,22,14,22.6962,12.56622,10.45752,-2.128535
14,4,22,14,28.75365,12.36841,10.45752,-2.128535
15,6,22,14,24.94467,12.56622,10.45752,-2.128535
16,4,22,11,28.75365,12.36841,10.45752,-3.602823
17,4,22,14,28.43157,12.36841,10.45752,-2.128535
18,4,22,11,28.43157,12.36841,10.45752,-3.602823
19,6,22,12,28.11472,14.90324,10.7939,-6.894636
20,4,22,8,25.53895,12.36841,10.45752,-5.07711
21,4,22,12,25.33539,16.57352,10.7939,-6.894636
22,6,22,12,28.43679,11.84841,16.87466,-3.626591
23,6,22,12,24.93155,13.42673,12.40907,-7.313382
24,4,22,9,24.93155,13.42673,12.40907,-8.787669
25,4,24,12,25.13198,12.56932,16.87466,-5.803393
26,4,22,12,30.39471,11.89931,15.44945,-5.469986
27,6,22,12,29.78209,11.95021,14.02424,-7.313382
28,6,22,12,32.35264,11.95021,14.02424,-7.313382
29,4,22,12,29.54175,12.34552,17.06462,-5.469986
30,6,22,12,30.42658,12.09682,18.48983,-3.626591
31,6,22,12,30.2178,13.76709,18.48983,-3.626591
32,6,22,12,30.00901,15.43737,18.48983,-3.626591
33,6,22,12,30.00901,15.43737,18.48983,-3.626591
34,6,22,12,30.00901,15.43737,18.48983,-3.626591
35,6,22,12,29.80023,15.58023,21.53021,-1.783195
36,8,22,12,27.65844,19.25319,21.86659,-5.075008
37,4,22,12,32.08022,15.63113,20.105,-3.626591
38,6,22,13,27.34158,21.78802,22.20296,-8.366821
39,4,22,10,27.34158,21.78802,22.20296,-9.841108
40,4,20,9,29.58755,13.90995,19.14256,-3.377334
41,6,22,14,29.30473,22.84633,24.15451,-11.65863
42,6,22,10,26.75716,18.89049,25.3409,-11.58784
43,6,22,14,29.30473,19.7915,30.23528,-7.971843
44,6,22,14,31.58472,19.8424,28.81007,-9.815239
45,6,22,14,31.58472,18.31498,31.85045,-7.971843
46,6,22,14,33.86472,18.36588,30.42524,-9.815239
47,6,22,14,30.9721,18.36588,30.42524,-9.815239
48,6,21,8,24.00996,27.0747,25.89289,-11.35088
49,4,19,11,33.54264,18.36588,27.26724,-9.815239
50,4,18,14,33.54264,18.36588,24.10924,-9.815239
51,6,20,14,33.22057,18.36588,27.26724,-9.815239
52,6,20,14,30.32795,18.36588,27.26724,-9.815239
53,6,18,11,33.54264,18.36588,24.10924,-11.28953
54,4,18,11,30.32795,18.36588,24.10924,-11.28953
55,6,18,10,28.24788,22.59425,27.14962,-9.446131
56,6,18,9,29.10678,23.87524,30.19,-7.602735
57,4,18,6,29.10678,23.87524,30.19,-9.077023
58,6,18,10,33.6927,20.91994,28.76479,-9.446131
59,6,19,6,29.45133,22.44963,30.37996,-10.65358
60,6,18,10,35.57083,23.72691,28.76479,-9.446131
61,8,18,10,35.57083,23.72691,25.43121,-9.446131
62,8,20,10,34.89629,21.55029,31.90273,-13.36967
63,6,18,12,35.57083,23.72691,28.40345,-7.717925
64,6,18,12,35.20241,26.67428,28.40345,-7.717925
65,6,18,12,32.67821,23.72691,28.40345,-7.717925
66,6,18,11,38.06366,24.91839,30.01862,-7.717925
67,8,18,12,40.09738,20.58257,33.059,-5.874529
68,6,18,11,37.69524,26.33835,33.059,-5.874529
69,6,18,12,36.83633,23.52994,33.059,-5.874529
70,10,18,10,36.02995,26.19938,29.72542,-5.874529
71,8,18,10,36.02995,26.19938,26.39184,-5.874529
72,6,16,12,37.37839,28.87318,30.23738,-9.166342
73,8,16,12,37.37839,28.87318,26.9038,-9.166342
74,6,16,10,37.37839,28.87318,28.93538,-10.70198
75,8,16,7,37.37839,28.87318,28.93538,-12.17627
76,8,16,12,36.02995,24.67196,29.24646,-2.302927
77,6,20,12,38.21983,23.91636,34.01963,-4.479729
78,8,20,12,35.73104,27.06315,32.40446,-4.479729
79,12,16,12,33.13732,24.67196,25.91288,-2.302927
80,6,20,12,35.73104,27.06315,32.40446,-5.317223
81,6,20,12,35.40897,25.53573,35.44484,-2.636333
82,8,20,9,35.73104,27.06315,32.40446,-6.79151
83,8,20,10,35.41419,29.59798,32.74084,-10.08332
84,6,20,12,35.08689,25.53573,32.11126,-2.636333
85,8,20,12,34.79635,22.5318,36.76681,-0.7929378
86,8,20,12,37.07635,22.5827,35.3416,-2.636333
87,8,18,10,32.85484,36.61148,29.91922,-13.37514
88,12,18,10,32.85484,36.61148,26.58564,-13.37514
89,12,18,11,32.53798,39.14631,26.92202,-16.66695
90,10,18,8,32.85484,36.61148,28.61721,-14.91077
91,10,18,10,33.06362,33.4138,32.95959,-11.53174
92,12,18,12,35.13483,35.13497,31.17304,-11.64693
93,8,20,12,35.04472,35.85588,31.17304,-14.24248
94,8,20,12,32.1521,35.85588,31.17304,-14.24248
95,6,20,11,32.80222,40.33456,31.17304,-14.24248
96,10,20,12,32.1521,32.80105,37.2538,-10.13694
97,8,24,12,31.97187,34.24287,37.2538,-14.49054
98,8,20,12,31.83002,34.32846,32.12112,-11.98034
99,10,20,12,34.06367,34.27191,38.86897,-10.13694
100,6,20,12,33.97356,34.99282,35.71097,-12.31374
101,8,20,12,33.97356,34.99282,32.3774,-12.31374
102,10,20,13,33.65671,37.52765,32.71378,-15.60555
103,8,22,9,36.04477,35.18658,40.48414,-13.78803
104,12,20,14,33.33986,40.06248,33.05016,-18.89737
105,10,20,14,33.33986,38.53506,36.09053,-17.05397
106,8,20,14,33.33986,38.53506,32.75696,-17.05397
107,10,20,15,33.023,42.59731,33.38654,-22.18918
108,8,21,12,32.93289,43.31821,33.38654,-24.36598
109,12,20,11,33.01778,38.53506,32.75696,-18.52826
110,8,20,10,31.70018,42.59731,32.08453,-23.45798
111,10,20,10,31.70018,42.59731,28.75096,-23.45798
112,10,21,12,32.93289,40.26338,36.13372,-20.67919
113,10,20,10,28.80755,42.59731,25.41738,-23.45798
114,10,21,12,37.45943,38.64646,37.74889,-20.67919
115,10,21,11,34.064,42.87399,32.80014,-20.67919
116,12,21,12,33.20509,40.06558,32.80014,-20.67919
117,8,21,12,41.22047,38.39126,34.41531,-20.67919
118,10,21,12,32.83667,43.01295,30.70784,-20.67919
119,12,21,12,32.25225,40.11543,33.84577,-22.42593
120,12,21,12,38.05564,35.53423,40.49607,-16.9924
121,16,21,12,38.7979,45.56472,30.70784,-20.67919
122,8,21,12,38.58912,47.235,30.70784,-20.67919
123,8,21,12,35.90528,44.03731,33.74821,-18.8358
124,6,23,12,35.3976,49.62618,30.70784,-22.85599
125,8,23,12,35.3976,49.62618,30.70784,-22.85599
126,6,23,9,35.3976,49.62618,30.70784,-24.33028
127,8,23,10,35.08075,52.16101,31.04421,-27.62209
128,8,22,6,35.02917,52.57355,28.61553,-24.33028
129,8,22,6,35.02917,52.57355,25.28195,-24.33028
130,12,25,12,37.15211,47.2003,32.32301,-25.45154
131,8,25,9,37.15211,47.2003,32.32301,-26.92583
132,8,21,10,43.87431,46.83778,31.02101,-22.21483
133,10,22,8,41.66665,44.03166,34.37455,-21.64024
134,14,25,12,36.46162,50.14768,28.98943,-25.45154
135,10,25,12,37.15211,47.2003,26.89712,-25.45154
136,12,27,12,38.6515,49.39207,30.6046,-27.62834
137,10,27,12,35.75888,49.39207,28.51229,-27.62834
138,14,27,12,38.6515,49.39207,30.6046,-27.62834
139,10,27,12,41.4479,52.14165,30.6046,-27.62834
140,8,31,12,41.6361,50.63609,30.6046,-31.98195
141,14,29,12,41.11359,48.43867,32.21977,-29.80515
142,12,33,12,43.45756,52.82786,32.21977,-34.15875
143,14,31,12,43.19215,53.44306,30.6046,-31.98195
144,10,35,12,41.45587,50.55049,33.64498,-34.49216
145,10,31,12,40.66795,48.96827,33.64498,-30.13855
146,12,33,12,44.02031,52.57915,33.64498,-32.31535
147,12,35,12,48.82517,48.73577,35.26015,-34.49216
148,12,31,12,39.71511,49.01812,36.78291,-31.88529
149,14,31,12,42.36353,44.59423,38.39808,-31.88529
150,8,33,12,39.38079,45.31514,38.39808,-34.06209
151,8,33,12,40.25576,48.16176,34.59305,-30.47196
152,10,31,12,44.0591,38.69277,46.19157,-31.78863
153,10,35,12,40.16565,48.88267,34.59305,-32.64876
154,10,33,12,40.25576,46.63434,34.29985,-28.62856
155,12,33,12,43.05217,50.91133,34.59305,-30.47196
156,10,35,12,42.44564,45.87874,35.91502,-30.80537
157,12,33,12,42.68374,52.33129,37.63343,-28.62856
158,8,31,12,42.31532,56.80608,31.43505,-30.47196
159,16,33,12,39.79112,53.85871,34.59305,-30.47196
160,12,33,12,47.8065,52.18439,36.20822,-30.47196
161,10,33,12,47.8065,52.18439,34.11592,-30.47196
162,10,33,12,47.8065,52.18439,33.41471,-30.47196
163,14,33,12,51.85616,51.73788,37.63343,-28.62856
164,12,31,12,48.59193,53.4631,27.31959,-30.17306
165,10,33,9,51.85616,51.73788,37.63343,-30.10285
166,14,35,12,52.03825,52.26099,37.63343,-30.80536
167,10,35,12,54.2848,52.12058,37.63343,-30.80536
168,10,30,6,55.02098,51.54008,34.47543,-30.10285
169,10,32,6,54.78064,53.4628,37.63343,-30.10285
170,10,32,6,54.78064,53.4628,34.29985,-30.10285
171,12,30,6,48.72319,52.13319,37.51581,-28.25945
172,10,30,8,48.72319,52.13319,40.48804,-26.53125
173,10,30,6,51.6114,54.88062,35.24578,-29.80396
174,8,30,6,54.74467,54.93527,35.24578,-29.80396
175,10,30,8,51.37106,56.80335,38.21802,-28.07575
176,12,26,6,48.48844,55.13308,30.47048,-29.20617
177,12,30,8,51.24297,57.828,38.21802,-28.07575
178,14,30,8,50.87455,60.77538,38.21802,-28.07575
179,14,26,8,48.27965,56.80335,33.44272,-27.47796
180,16,30,9,50.5577,63.3102,38.5544,-31.36756
181,12,32,9,50.46758,64.03111,38.5544,-33.54436
182,14,32,10,50.15073,66.56594,38.89078,-36.83618
183,12,32,10,50.15073,66.56594,35.5572,-36.83618
184,12,30,6,46.92823,69.20496,38.5544,-32.84185
185,14,30,7,46.61138,71.73979,38.89078,-36.13366
186,14,30,6,46.92823,67.67754,41.59478,-30.99846
187,10,30,6,44.03561,69.20496,35.22082,-32.84185
188,10,30,6,51.48823,66.25193,39.69243,-32.84185
189,14,30,6,51.48823,66.25193,36.35886,-32.84185
190,10,30,6,50.9038,63.3544,39.49679,-34.58859
191,10,30,6,46.13502,63.39546,50.81347,-29.0584
192,12,30,6,47.20044,67.47974,34.92762,-30.99846
193,16,30,6,46.78286,72.34771,31.88724,-32.84185
194,12,30,6,46.78286,72.34771,28.55367,-32.84185
195,12,26,6,54.34488,67.7244,25.38733,-32.54295
196,12,30,6,45.65434,67.24091,47.47989,-29.0584
197,10,30,6,45.65434,67.24091,44.14632,-29.0584
198,12,26,8,54.0228,67.7244,28.35956,-31.23349
199,14,26,9,53.70595,70.25923,28.69594,-34.52531
200,14,26,8,56.26936,67.58399,28.35956,-31.23349
201,12,28,6,47.7571,67.18221,43.84476,-29.47715
202,10,26,8,56.06057,69.25426,28.35956,-31.23349
203,14,26,8,55.90093,70.53137,28.35956,-31.23349
204,10,26,7,54.23564,67.33755,34.44032,-27.5467
205,18,26,9,55.74372,71.78909,28.69594,-34.52531
206,12,24,8,55.80154,70.53137,22.63834,-30.9346
207,14,24,8,55.43312,73.47875,22.63834,-30.9346
208,14,26,10,57.38479,72.8474,30.64749,-37.81712
209,14,28,10,55.33675,73.51741,32.0727,-38.15053
210,20,28,10,54.91918,76.85796,32.0727,-38.15053
211,16,22,10,55.05844,75.74388,25.75669,-35.97372
212,20,22,10,55.05844,75.74388,22.42312,-35.97372
213,14,27,6,57.30636,75.60086,33.68787,-37.18118
214,12,22,10,51.95703,77.41415,25.75669,-36.39247
215,16,22,10,56.60159,80.16212,27.37187,-35.97372
216,12,24,10,56.8799,77.93565,27.37187,-38.15053
217,14,24,10,56.8799,77.93565,24.03829,-38.15053
218,16,22,10,56.30269,82.55331,27.37187,-38.9086
219,16,20,10,56.51148,80.88303,27.37187,-39.66667
220,16,22,10,59.67631,80.68523,27.37187,-38.9086
221,12,20,10,55.56585,88.44807,27.37187,-39.66667
222,14,20,10,55.24377,88.44807,27.37187,-39.66667
223,16,18,10,55.5128,85.50069,24.98422,-39.36777
224,18,20,11,52.03429,90.98289,27.70824,-42.95848
225,16,20,12,55.03498,88.59092,33.38448,-36.09507
226,14,22,12,55.15366,87.64156,33.38448,-38.27187
227,18,20,11,55.24377,86.92065,27.07867,-38.24202
228,18,20,12,54.9217,86.92065,33.38448,-36.09507
229,20,20,12,60.6886,85.24633,34.99965,-36.09507
230,12,18,12,62.4141,85.13228,32.612,-35.79617
231,12,20,11,60.47977,87.94068,34.99965,-36.09507
232,18,20,14,60.37175,87.78116,31.94172,-39.44823
233,10,19,9,60.16292,90.47551,35.33603,-39.38688
234,20,20,11,60.47977,86.41326,34.70645,-34.25167
235,14,20,12,60.16292,88.94809,35.04283,-37.54349
236,12,20,11,59.89535,83.51573,37.84439,-35.99841
237,12,22,10,57.77151,87.04504,37.84439,-38.17522
238,14,22,10,57.77151,87.04504,34.51081,-38.17522
239,12,19,9,58.15628,86.05056,35.79312,-40.19879
240,12,18,11,57.44538,88.85896,35.79312,-38.99133
241,20,18,11,57.44538,88.85896,32.45954,-38.99133
242,14,18,11,57.44538,88.85896,29.12596,-38.99133
243,16,14,11,60.61021,88.66116,29.47712,-39.41008
244,16,14,11,56.75489,91.80634,29.47712,-38.99133
245,16,14,13,60.61021,88.66116,32.44935,-37.68187
246,12,14,14,60.29336,91.19599,32.78573,-40.97369
247,14,14,14,62.53991,91.05558,32.78573,-40.97369
248,16,14,14,59.70894,88.29846,35.92367,-42.72042
249,18,14,14,59.70894,88.29846,32.59009,-42.72042
250,10,14,14,62.57336,89.71947,31.06733,-40.97369
251,14,14,14,62.53991,91.05558,27.35985,-41.39243
252,14,13,8,59.50015,89.96873,32.59009,-44.19471
253,18,14,11,59.70894,88.29846,32.59009,-44.61346
254,16,13,8,59.50015,89.96873,29.25651,-44.61346
255,16,13,8,59.50015,89.96873,25.92294,-44.61346
256,16,13,9,58.70694,88.74148,34.42603,-46.0028
257,18,11,8,60.53183,88.62743,32.57003,-46.3602
258,12,13,10,62.66498,89.77094,26.80287,-42.88525
259,20,11,9,60.53183,88.62743,27.93445,-46.42155
260,12,11,9,60.53183,88.62743,24.60087,-46.42155
261,24,13,10,64.06015,87.0157,30.03321,-43.304
262,14,11,10,66.24076,84.01176,34.39341,-41.16171
263,12,14,7,62.73732,87.0157,26.69963,-44.51146
264,16,13,10,69.50498,83.81396,34.68876,-41.87935
265,12,11,11,71.78498,82.33745,35.23823,-41.46061
266,14,13,12,71.78498,82.33745,37.09423,-41.52196
267,12,13,12,73.69656,83.80831,38.7094,-41.52196
268,14,13,13,73.3797,86.34314,39.04578,-44.81377
269,14,13,13,73.3797,86.34314,35.7122,-44.81377
270,16,13,12,73.69656,83.80831,35.37582,-41.52196
271,14,13,12,73.69656,83.80831,32.04225,-41.52196
272,14,13,12,73.69656,83.80831,28.70867,-41.52196
273,14,13,13,75.07527,81.96909,38.373,-46.97926
274,10,13,10,75.07527,81.96909,38.373,-48.45354
275,16,11,13,73.32813,86.75569,28.82352,-41.58331
276,14,13,10,75.07527,81.96909,35.03943,-48.45354
277,14,13,11,75.07527,81.96909,33.73743,-48.5149
278,14,11,11,74.60746,84.91647,31.34978,-48.216
279,14,11,11,74.60746,84.91647,28.0162,-48.216
280,12,11,13,75.07527,80.44167,36.16308,-45.13586
281,14,11,11,74.60746,84.91647,24.68262,-48.216
282,16,12,11,73.54366,82.11195,34.86108,-46.40467
283,18,12,11,73.75245,80.44167,34.86108,-46.40467
284,18,12,11,73.75245,80.44167,31.5275,-46.40467
285,12,9,10,75.07527,81.96909,21.20524,-48.45354
286,14,10,11,73.75245,80.44167,25.03592,-46.40467
287,10,11,10,74.86649,83.63937,24.36324,-48.87229
288,12,12,13,75.57734,77.27278,40.58049,-40.98967
289,14,12,13,75.57734,77.27278,37.24691,-40.98967
290,14,12,13,74.99291,74.37525,40.38485,-42.73641
291,12,12,14,75.26048,79.80761,37.58329,-44.28148
292,14,12,15,74.94363,82.34244,37.91967,-47.5733
293,10,12,17,74.94363,82.34244,40.89191,-45.84509
294,14,12,14,80.09655,83.0034,39.19846,-44.28148
