Generation,Points,Steps,Ray Radius,Sight,Moving Speed,Box Weight,Weight
0,0.2,22,16,30,4,1,2
1,5,22,14,30,4,1,1.11718
2,5,22,14,30,4,1.676413,2.062363
3,5,22,12,30,4,1.676413,1.179543
4,5,22,12,30,4,2.352825,2.124727
5,5.1,22,12,30,4,2.352825,2.429904
6,5,22,12,30,4,2.352825,2.73508
7,5,22,12,30,4,2.352825,3.040257
8,0.1,22,12,30,4,3.029238,3.040257
9,5,21,10,31.82615,3.885866,3.029238,2.797444
10,5,22,10,30,4,3.705651,3.10262
11,0.1,22,10,30,4,4.382063,3.10262
12,0.1,22,10,30,4,5.058476,3.10262
13,0.1,22,10,30,4,5.734889,3.10262
14,0.1,22,10,30,4,6.411301,3.10262
15,0.1,22,10,30,4,7.087714,3.10262
16,0.1,22,10,30,4,7.764126,3.10262
17,0.1,22,10,30,4,8.440539,3.10262
18,5,22,10,30,4,8.440539,3.407797
19,0.1,22,10,30,4,9.116952,3.407797
20,5,22,10,30,4,9.116952,3.712974
21,0.1,22,10,30,4,9.793365,3.712974
22,0.1,22,10,30,4,10.46978,3.712974
23,0.1,22,10,30,4,11.14619,3.712974
24,0.1,22,10,30,4,11.8226,3.712974
25,0.1,22,10,30,4,12.49901,3.712974
26,0.1,22,10,30,4,13.17543,3.712974
27,0.1,22,10,30,4,13.85184,3.712974
28,0.1,22,10,30,4,14.52825,3.712974
29,0.1,22,10,30,4,15.20467,3.712974
30,0.1,22,10,30,4,15.88108,3.712974
31,0.1,22,10,30,4,16.55749,3.712974
32,0.1,22,10,30,4,17.2339,3.712974
33,0.1,22,10,30,4,17.91032,3.712974
34,0.1,22,10,30,4,18.58673,3.712974
35,0.1,22,10,30,4,19.26314,3.712974
36,0.1,22,10,30,4,19.93955,3.712974
37,0.1,22,10,30,4,20.61597,3.712974
38,0.1,22,10,30,4,21.29238,3.712974
39,0.1,22,10,30,4,21.96879,3.712974
40,0.1,22,10,30,4,22.6452,3.712974
41,0.1,22,10,30,4,23.32162,3.712974
42,0.1,22,10,30,4,23.99803,3.712974
43,0.1,22,10,30,4,24.67444,3.712974
44,0.1,22,10,30,4,25.35085,3.712974
45,0.1,22,10,30,4,26.02727,3.712974
46,0.1,22,10,30,4,26.70368,3.712974
47,0.1,22,10,30,4,27.38009,3.712974
48,0.1,22,10,30,4,28.05651,3.712974
49,0.1,22,10,30,4,28.73292,3.712974
50,0.1,22,10,30,4,29.40933,3.712974
51,0.1,22,10,30,4,30.08574,3.712974
52,0.1,22,10,30,4,30.76216,3.712974
53,0.1,22,10,30,4,31.43857,3.712974
54,0.1,22,10,30,4,32.11498,3.712974
55,0.1,22,10,30,4,32.7914,3.712974
56,0.1,22,10,30,4,33.46781,3.712974
57,0.1,22,10,30,4,34.14423,3.712974
58,0.1,22,10,30,4,34.82064,3.712974
59,0.1,22,10,30,4,35.49706,3.712974
60,0.1,22,10,30,4,36.17347,3.712974
61,0.1,22,10,30,4,36.84988,3.712974
62,0.1,22,10,30,4,37.5263,3.712974
63,0.1,22,10,30,4,38.20271,3.712974
64,0.1,22,10,30,4,38.87913,3.712974
65,0.1,22,10,30,4,39.55554,3.712974
66,0.1,22,10,30,4,40.23196,3.712974
67,0.1,22,10,30,4,40.90837,3.712974
68,0.1,22,10,30,4,41.58479,3.712974
69,0.1,22,10,30,4,42.2612,3.712974
70,0.1,22,10,30,4,42.93761,3.712974
71,0.1,22,10,30,4,43.61403,3.712974
72,0.1,22,10,30,4,44.29044,3.712974
73,0.1,22,10,30,4,44.96686,3.712974
74,0.1,22,10,30,4,45.64327,3.712974
75,0.1,22,10,30,4,46.31969,3.712974
76,0.1,22,10,30,4,46.9961,3.712974
77,5,21,10,31.82615,3.885866,46.31969,4.01815
78,0.1,21,10,31.82615,3.885866,46.9961,4.01815
79,0.1,21,10,31.82615,3.885866,47.67252,4.01815
80,5,21,10,31.82615,3.885866,47.67252,4.01815
81,0.1,21,10,31.82615,3.885866,48.34893,4.01815
82,0.1,21,10,31.82615,3.885866,49.02534,4.01815
83,0.1,21,10,31.82615,3.885866,49.70176,4.01815
84,0.1,21,10,31.82615,3.885866,50.37817,4.01815
85,0.1,21,10,31.82615,3.885866,51.05459,4.01815
86,0.1,21,10,31.82615,3.885866,51.731,4.01815
87,0.1,21,10,31.82615,3.885866,52.40742,4.01815
88,0.1,21,10,31.82615,3.885866,53.08383,4.01815
89,0.1,21,10,31.82615,3.885866,53.76025,4.01815
90,0.1,21,10,31.82615,3.885866,54.43666,4.01815
