Generation,Points,Steps,Ray Radius,Sight,Moving Speed,Box Weight,Weight
0,5,22,16,29.88198,4.944129,1,5.011851
1,5,22,14,30,4,1,2.062363
2,5,22,14,29.88198,4.944129,1.676413,5.074215
3,5,22,14,29.88198,4.944129,4.008512,5.074215
4,10,22,14,29.88198,4.944129,4.008512,5.379392
5,5.1,22,14,29.88198,4.944129,4.008512,5.684568
6,5.1,22,14,29.88198,4.944129,4.008512,5.989745
7,5,22,6,29.88198,4.944129,2.352825,5.323669
8,10,22,11,29.23172,4.944129,7.637884,1.836392
9,10,22,9,29.23172,4.944129,7.637884,1.898756
10,5,22,14,29.23172,4.944129,9.473353,2.141569
11,5,22,7,29.23172,4.944129,9.969984,1.961119
12,5,22,10,29.23172,4.944129,11.80545,1.961119
13,5,22,5,29.23172,3.33614,12.20003,2.023482
14,5,22,8,29.23172,3.33614,14.0355,2.023482
15,5,22,16,29.23172,3.33614,17.70644,1.961119
16,5.1,22,16,29.23172,3.33614,17.70644,2.266296
17,5.1,22,16,29.23172,3.33614,17.70644,2.571472
18,5,22,2,29.23172,3.33614,14.0355,2.515749
19,5,22,5,29.23172,3.33614,15.87097,2.515749
20,5,22,8,29.23172,3.33614,17.70644,2.515749
21,5.1,22,8,29.23172,3.33614,17.70644,2.515749
22,5,22,1,29.23172,3.33614,15.87097,2.945653
23,5,22,4,29.23172,3.33614,17.70644,2.945653
24,10,22,4,29.23172,3.33614,17.70644,2.945653
25,5.1,22,4,29.23172,3.33614,17.70644,2.945653
26,10,22,4,29.23172,3.33614,17.70644,3.250829
27,10.1,22,4,29.23172,3.33614,17.70644,3.250829
28,5.1,22,4,29.23172,3.33614,17.70644,3.250829
29,10,22,4,29.23172,3.33614,17.70644,3.556006
30,5.1,22,4,29.23172,3.33614,17.70644,3.556006
31,10.1,22,4,29.23172,3.33614,17.70644,3.556006
32,10.1,22,4,29.23172,3.33614,17.70644,3.556006
33,5,22,1,29.23172,3.33614,17.70644,3.98591
34,10,22,1,29.23172,3.33614,17.70644,3.98591
35,5.1,22,1,29.23172,3.33614,17.70644,3.98591
36,5.1,22,1,29.23172,3.33614,17.70644,3.98591
37,10.1,22,1,29.23172,3.33614,17.70644,3.98591
38,10,22,1,29.23172,3.33614,17.70644,4.291086
39,5,22,1,33.25391,3.084753,19.5419,4.173
40,5,22,2,33.25391,3.084753,21.37737,4.173
41,5.1,22,2,33.25391,3.084753,21.37737,4.173
42,5.1,22,2,33.25391,3.084753,21.37737,4.173
43,5.1,22,2,33.25391,3.084753,21.37737,4.173
44,5,22,2,33.25391,3.084753,21.37737,4.478177
45,10,22,2,33.25391,3.084753,21.37737,4.783354
46,5,22,8,33.25391,1.476764,27.27835,4.173
47,5.1,22,8,33.25391,1.476764,27.27835,4.173
48,5.1,22,8,33.25391,1.476764,27.27835,4.173
49,5,20,6,33.25391,1.476764,25.75906,4.235364
50,5,20,6,33.25391,1,27.9891,4.235364
51,5,20,14,32.60365,1.476764,32.87959,0.7480865
52,10,20,6,32.60365,1,31.43869,1.115627
53,5,20,17,32.60365,1.476764,34.71505,0.7480865
54,5.1,20,17,32.60365,1.476764,34.71505,1.053263
55,5,20,2,32.60365,1,33.66874,1.240354
56,5,20,10,32.60365,1,37.33968,1.17799
57,5,20,1,32.60365,1,33.66874,1.607894
58,5,20,1,32.60365,1,33.66874,1.91307
59,5,20,1,32.60365,1,33.66874,2.218247
60,5,20,4,32.60365,1,37.73425,1.91307
61,5,20,4,32.60365,1,37.73425,2.218247
62,10,20,4,31.95339,1,43.41389,-1.511843
63,5,20,4,31.95339,1,43.41389,-1.206667
