Generation,Points,Steps,Ray Radius,Sight,Moving Speed,Box Weight,Weight
0,2,22,16,31.61517,4.899052,1,-2.404845
1,2,22,16,30,5,0.6504054,0
2,4,19,18,29.61859,8.051305,1,0
3,4,19,18,29.4098,9.721579,1,0
4,4,19,18,29.16946,11.64431,1,0
5,4,19,18,26.51718,9.721579,1,0
6,6,21,18,28.75727,12.36522,1,-2.176802
7,4,19,18,26.19511,9.721579,1,0
8,6,21,18,30.68175,12.22481,1,-2.176802
9,2,21,18,30.09733,9.327279,4.137937,-3.923539
10,4,21,18,32.9283,12.0844,1,-2.176802
11,4,21,18,29.5129,6.429751,7.275873,-5.670276
12,4,23,18,29.42279,7.150661,7.275873,-7.847078
13,4,23,18,28.89193,8.820935,7.275873,-7.847078
14,4,25,18,29.12389,9.541845,7.275873,-10.02388
15,4,25,18,28.44818,9.794298,7.275873,-10.02388
16,4,27,18,25.90081,12.18548,7.275873,-12.20068
17,4,27,18,29.03377,10.26276,7.275873,-12.20068
18,4,27,18,28.14928,12.18548,7.275873,-12.20068
19,6,27,18,31.39585,13.91041,7.275873,-12.20068
20,6,29,18,31.30573,14.63132,7.275873,-14.37748
21,4,29,18,28.65345,11.18117,10.31625,-12.53409
22,6,29,18,30.72131,11.73379,10.41381,-16.12422
23,6,29,18,30.56609,17.97187,7.275873,-14.37748
24,4,29,18,27.82869,11.73379,10.41381,-16.12422
25,4,27,18,30.56609,16.44445,7.158253,-12.53409
26,6,29,18,30.56609,16.44445,10.31625,-12.53409
27,4,29,18,24.61399,10.20637,13.45419,-14.28082
28,6,29,18,24.78085,14.91704,13.35663,-10.69069
29,4,29,18,21.72137,11.73379,10.41381,-16.12422
30,6,29,18,21.72137,11.73379,10.41381,-16.12422
31,4,29,18,18.9956,14.91704,13.35663,-10.69069
32,4,31,18,21.47604,15.63795,13.35663,-12.86749
33,4,29,18,21.24408,14.91704,13.35663,-10.69069
34,4,31,18,21.23569,17.56067,13.35663,-12.86749
35,4,33,18,23.66592,14.88234,14.97181,-15.0443
36,6,33,18,23.66592,14.88234,14.97181,-15.0443
37,6,33,18,23.13506,16.55261,14.97181,-15.0443
38,4,33,18,23.13506,16.55261,14.97181,-15.0443
39,6,33,18,20.56451,16.55261,14.97181,-15.0443
40,8,33,18,20.24244,16.55261,14.97181,-15.0443
41,8,33,18,20.56451,16.55261,14.97181,-15.0443
42,4,33,19,20.00732,21.01017,15.30818,-18.33611
43,4,33,20,20.00732,21.01017,15.30818,-18.33611
44,8,33,20,19.69046,23.545,15.64456,-21.62792
45,6,33,20,19.68524,21.01017,15.30818,-18.33611
46,4,33,21,19.69046,23.545,15.64456,-21.62792
47,6,33,20,19.68524,21.01017,15.30818,-18.33611
48,6,33,20,19.68524,21.01017,15.30818,-18.33611
49,6,33,21,19.04631,23.545,15.64456,-21.62792
50,4,33,20,17.11469,21.01017,15.30818,-18.33611
51,4,33,18,19.04631,23.545,15.64456,-23.10221
52,4,33,21,18.72424,23.545,15.64456,-21.62792
53,4,33,21,18.4839,25.46773,15.64456,-21.62792
54,4,33,18,18.4839,25.46773,15.64456,-23.10221
55,4,33,22,18.40738,26.07983,15.98094,-24.91973
56,4,33,22,18.08531,26.07983,15.98094,-24.91973
57,6,33,22,17.5229,28.00256,15.98094,-24.91973
58,4,35,22,17.9952,26.80074,15.98094,-27.09654
59,4,35,22,17.75486,28.72347,15.98094,-27.09654
60,4,31,23,18.16704,28.00256,11.52094,-24.98109
61,4,33,22,14.86223,28.72347,12.82294,-27.09654
62,4,37,19,17.66474,29.44438,15.98094,-30.74763
63,4,37,16,17.66474,29.44438,15.98094,-32.22191
64,6,37,20,17.34267,29.44438,15.98094,-30.74763
65,6,35,20,17.66474,29.44438,12.82294,-30.74763
66,6,37,20,17.34267,29.44438,15.98094,-30.74763
67,6,37,21,17.02581,31.97921,16.31732,-34.03944
68,4,36,18,17.02581,31.97921,16.31732,-34.03944
69,4,35,21,16.38166,31.97921,13.15932,-34.03944
70,4,37,22,16.70896,31.4592,22.73446,-33.64446
71,4,33,21,16.38166,31.97921,10.00132,-34.03944
72,6,35,21,14.13319,31.97921,13.15932,-34.03944
73,4,35,21,13.48904,31.97921,13.15932,-34.03944
74,4,35,18,14.13319,31.97921,13.15932,-35.51373
75,4,33,21,16.05959,31.97921,10.00132,-34.03944
76,6,33,21,16.05959,31.97921,10.00132,-34.03944
77,6,33,18,16.05959,31.97921,10.00132,-35.51373
78,4,35,21,15.81925,33.90193,13.15932,-34.03944
79,4,35,21,15.73752,31.97921,13.15932,-34.03944
80,6,35,22,15.50239,36.43676,13.4957,-37.33125
81,4,33,22,12.60977,36.43676,10.33769,-37.33125
82,4,33,21,15.49717,33.90193,10.00132,-34.03944
83,6,37,22,15.16672,36.54557,13.15932,-36.21624
84,6,35,21,15.1751,33.90193,13.15932,-34.03944
85,4,37,23,14.84987,39.08039,13.4957,-39.50805
86,4,37,20,14.84987,39.08039,13.4957,-40.98234
87,4,37,23,11.63517,39.08039,13.4957,-39.50805
88,4,35,18,14.93476,35.82466,13.15932,-35.51373
89,4,35,23,14.52779,39.08039,10.33769,-39.50805
90,6,37,23,11.63517,39.08039,10.16212,-39.50805
91,4,39,23,11.54506,38.27389,13.2025,-39.84146
92,4,39,24,11.2282,40.80872,13.53888,-43.13327
93,4,39,21,11.2282,40.80872,13.53888,-44.60756
94,2,29,20,11.63517,39.08039,0.8636913,-40.98234
95,4,37,22,6.087857,44.27998,7.004116,-41.68486
96,4,37,23,11.40077,42.73032,14.81767,-37.66466
97,2,37,23,11.07869,42.73032,14.81767,-37.66466
98,4,37,20,11.07869,42.73032,14.81767,-39.13895
99,4,37,23,7.601645,39.83279,17.9556,-39.4114
100,4,35,22,8.171279,45.42525,11.65967,-37.66466
101,4,37,20,7.601645,39.83279,17.9556,-40.88568
102,4,37,24,13.04183,43.78864,16.76922,-41.37522
103,6,35,24,12.62037,43.78864,14.38157,-40.65758
104,4,37,24,10.69126,49.13187,17.1056,-44.66703
105,4,35,24,13.04183,43.78864,13.61122,-41.37522
106,4,35,25,12.72498,46.32347,13.9476,-44.66703
107,6,37,24,12.71976,43.78864,16.76922,-41.79396
108,4,37,26,12.31801,49.5792,14.28397,-50.13565
109,6,34,23,12.40813,48.8583,14.28397,-47.95884
110,6,35,26,11.63693,52.45129,14.28397,-47.95884
111,4,35,26,9.306722,50.52857,14.28397,-47.95884
112,4,37,23,14.59801,48.10269,15.19794,-51.60994
113,4,37,24,14.59801,48.10269,15.19794,-51.60994
114,6,39,23,14.5079,47.29618,18.23832,-51.94334
115,8,39,23,14.26756,49.21891,18.23832,-51.94334
116,6,39,23,14.26756,49.21891,18.23832,-51.94334
117,6,39,23,14.26756,49.21891,18.23832,-51.94334
118,4,39,20,14.26756,49.21891,18.23832,-53.41763
119,6,39,20,14.26756,47.69149,21.2787,-51.57424
120,4,39,20,14.26756,47.69149,21.2787,-51.57424
121,8,41,20,14.17744,46.88499,24.31908,-51.90765
122,4,39,20,14.02722,49.61422,21.2787,-51.57424
123,4,41,21,13.86059,49.41982,24.65546,-55.19946
124,6,39,21,13.71036,50.62163,24.65546,-53.02266
125,4,40,19,13.54374,51.95464,24.99184,-58.49127
126,6,38,14,16.30721,48.13771,22.89387,-53.04853
127,6,39,22,13.07143,51.62904,28.03222,-54.47107
128,6,39,22,15.35143,51.67995,26.60701,-56.31447
129,6,39,22,15.46472,51.8228,29.64739,-54.47107
130,4,39,23,15.03458,54.21478,26.94339,-59.60628
131,6,39,23,14.47216,56.1375,26.94339,-59.60628
132,4,37,20,15.03458,54.21478,23.78539,-61.08057
133,8,41,23,14.62239,54.93568,26.94339,-62.20183
134,6,39,20,14.66615,57.16215,26.94339,-61.08057
135,4,39,17,14.66615,57.16215,26.94339,-62.55486
136,8,42,20,13.29956,53.40827,29.98377,-61.14714
137,6,41,17,13.29956,53.40827,29.98377,-61.14714
138,6,42,22,13.29956,53.40827,32.95601,-59.41894
139,6,41,19,12.97749,53.40827,32.95601,-59.41894
140,8,39,20,14.59558,59.50146,31.93532,-62.52899
141,8,39,21,14.27873,62.03629,32.2717,-65.8208
142,6,39,20,17.76041,59.30365,31.93532,-62.52899
143,6,40,17,14.50547,58.69495,34.9757,-62.86239
