Generation,Points,Steps,Ray Radius,Sight,Moving Speed,Box Weight,Weight
0,0.2,22,16,30,4,1,2
1,5,22,14,30,4,-0.0798316,-0.9432776
2,5,22,14,30,4,1.676413,2.062363
3,0.1,22,14,30,4,2.352825,2.062363
4,5,21,12,30,4,0.5965811,-0.8809142
5,10,22,14,29.34974,4,6.478828,-1.36255
6,5,22,10,30,4,3.029238,2.18709
7,10,22,10,30,4,3.029238,2.492267
8,5,22,16,30,4,6.700177,2.18709
9,5,22,8,30,4,3.029238,2.859807
10,10,22,8,30,4,3.029238,3.164984
11,5,22,17,30,4,9.212058,2.249454
12,5,22,6,30,4,3.705651,3.227347
13,5,22,6,30,2.392011,5.935696,3.227347
14,5,22,20,29.34974,2.392011,16.72716,-1.17546
15,5,22,4,30,2.392011,5.935696,3.594887
16,5,22,18,29.34974,2.392011,16.72716,-0.8079202
17,5.1,22,18,29.34974,2.392011,16.72716,-0.5027435
18,5,22,19,29.34974,2.392011,18.56263,-0.7455568
19,5.1,22,19,29.34974,2.392011,18.56263,-0.4403801
20,5.1,22,19,29.34974,2.392011,18.56263,-0.1352034
21,5,22,15,29.34974,2.392011,20.89473,-0.6208301
22,5,22,23,29.34974,2.392011,24.56567,-0.6831934
23,5,22,23,29.34974,2.392011,26.89777,-0.6831934
24,0.1,22,23,29.34974,2.392011,27.57418,-0.6831934
25,5,22,23,28.69948,2.392011,30.34735,-3.802931
26,5.1,22,23,28.69948,2.392011,30.34735,-3.497754
27,5,22,21,28.69948,2.392011,31.70018,-4.045744
28,5,22,21,28.69948,2.392011,31.02377,-3.43539
29,5,22,19,28.69948,1,33.93023,-3.983381
30,5,22,19,28.69948,2.392011,31.70018,-3.373027
31,5,22,19,28.04922,1,37.37981,-7.103118
32,10,22,19,28.04922,2.392011,35.82618,-6.797941
33,5.1,22,19,28.04922,2.392011,35.82618,-6.492764
34,5.1,22,19,28.04922,2.392011,35.82618,-6.187588
35,5.1,22,19,28.04922,2.392011,35.82618,-5.882411
36,5,22,19,27.39896,2.392011,39.95219,-9.612501
37,5.1,22,19,27.39896,2.392011,39.95219,-9.307324
38,5.1,22,19,27.39896,2.392011,39.95219,-9.002148
39,5,22,17,27.39896,2.392011,40.6286,-9.244961
40,5,22,17,27.39896,2.392011,40.6286,-8.939784
41,5,22,17,26.7487,2.392011,44.7546,-12.66987
42,0.1,22,17,26.7487,2.392011,45.43102,-12.66987
43,0.1,22,17,26.7487,2.392011,46.10743,-12.66987
44,0.1,22,17,26.7487,2.392011,46.78385,-12.66987
45,0.1,22,17,26.7487,2.392011,47.46026,-12.66987
46,0.1,22,17,26.7487,2.392011,48.13668,-12.66987
47,0.1,22,17,26.7487,2.392011,48.81309,-12.66987
48,0.1,22,17,26.7487,2.392011,49.48951,-12.66987
49,0.1,22,17,26.7487,2.392011,50.16592,-12.66987
50,0.1,22,17,26.7487,2.392011,50.84233,-12.66987
51,0.1,22,17,26.7487,2.392011,51.51875,-12.66987
52,0.1,22,17,26.7487,2.392011,52.19516,-12.66987
53,0.1,22,17,26.7487,2.392011,52.87158,-12.66987
54,0.1,22,17,26.7487,2.392011,53.54799,-12.66987
55,0.1,22,17,26.7487,2.392011,54.22441,-12.66987
56,0.1,22,17,26.7487,2.392011,54.90082,-12.66987
57,0.1,22,17,26.7487,2.392011,55.57724,-12.66987
58,0.1,22,17,26.7487,2.392011,56.25365,-12.66987
59,0.1,22,17,26.7487,2.392011,56.93007,-12.66987
60,0.1,22,17,26.7487,2.392011,57.60648,-12.66987
61,0.1,22,17,26.7487,2.392011,58.28289,-12.66987
62,0.1,22,17,26.7487,2.392011,58.95931,-12.66987
63,0.1,22,17,26.7487,2.392011,59.63572,-12.66987
64,0.1,22,17,26.7487,2.392011,60.31214,-12.66987
65,0.1,22,17,26.7487,2.392011,60.98855,-12.66987
66,0.1,22,17,26.7487,2.392011,61.66497,-12.66987
67,0.1,22,17,26.7487,2.392011,62.34138,-12.66987
68,0.1,22,17,26.7487,2.392011,63.0178,-12.66987
69,0.1,22,17,26.7487,2.392011,63.69421,-12.66987
70,0.1,22,17,26.7487,2.392011,64.37062,-12.66987
71,0.1,22,17,26.7487,2.392011,65.04704,-12.66987
72,0.1,22,17,26.7487,2.392011,65.72345,-12.66987
73,0.1,22,17,26.7487,2.392011,66.39986,-12.66987
