Generation,Points Pirates,Steps Pirates,Ray Radius Pirates,Sight Pirates,Moving Speed Pirates, Box Weight Pirates, Boat Weight Pirates
0,0.1,22,16,30,4,-0.0798316,-1.005641
1,5,22,14,30,4,1,1.11718
2,5,22,14,30,4,0.5965811,-0.9432776
3,5.1,22,14,30,4,0.5965811,-0.6381009
4,5.1,22,14,30,4,0.5965811,-0.3329241
5,5,22,8,30,2.392011,3.230045,1.30427
6,5,22,12,30,4,0.5965811,0.03461599
7,5,22,12,29.34974,4,4.046171,-3.390298
8,5,22,12,29.34974,2.392011,6.276216,-3.390298
9,5,22,10,29.34974,2.392011,6.276216,-3.327935
10,5.1,22,10,29.34974,2.392011,6.276216,-3.022758
11,5,22,13,29.34974,1,10.34173,-3.327935
12,10,22,10,28.69948,2.392011,10.40222,-6.447672
13,10,22,13,28.69948,1,16.02137,-6.752849
14,5,22,8,28.69948,2.392011,11.07863,-6.385308
15,5.1,22,8,28.69948,2.392011,11.07863,-6.080132
16,5,22,8,28.69948,2.392011,11.07863,-5.774955
17,10,22,8,28.04922,2.392011,15.20463,-9.505045
18,5,22,8,28.04922,2.392011,15.20463,-9.199869
19,0.1,22,8,28.04922,2.392011,15.88105,-9.199869
20,0.1,22,8,28.04922,2.392011,16.55746,-9.199869
21,0.1,22,8,28.04922,2.392011,17.23387,-9.199869
22,0.1,22,8,28.04922,2.392011,17.91028,-9.199869
23,0.1,22,8,28.04922,2.392011,18.5867,-9.199869
24,0.1,22,8,28.04922,2.392011,19.26311,-9.199869
25,0.1,22,8,28.04922,2.392011,19.93952,-9.199869
26,0.1,22,8,28.04922,2.392011,20.61593,-9.199869
27,0.1,22,8,28.04922,2.392011,21.29235,-9.199869
28,0.1,22,8,28.04922,2.392011,21.96876,-9.199869
29,0.1,22,8,28.04922,2.392011,22.64517,-9.199869
30,0.1,22,8,28.04922,2.392011,23.32158,-9.199869
31,0.1,22,8,28.04922,2.392011,23.998,-9.199869
32,0.1,22,8,28.04922,2.392011,24.67441,-9.199869
33,0.1,22,8,28.04922,2.392011,25.35082,-9.199869
34,0.1,22,8,28.04922,2.392011,26.02724,-9.199869
35,0.1,22,8,28.04922,2.392011,26.70365,-9.199869
36,0.1,22,8,28.04922,2.392011,27.38006,-9.199869
37,0.1,22,8,28.04922,2.392011,28.05647,-9.199869
38,0.1,22,8,28.04922,2.392011,28.73289,-9.199869
39,0.1,22,8,28.04922,2.392011,29.4093,-9.199869
40,0.1,22,8,28.04922,2.392011,30.08571,-9.199869
41,0.1,22,8,28.04922,2.392011,30.76212,-9.199869
42,0.1,22,8,28.04922,2.392011,31.43854,-9.199869
