Generation,Points Pirates,Steps Pirates,Ray Radius Pirates,Sight Pirates,Moving Speed Pirates, Box Weight Pirates, Boat Weight Pirates
0,0.2,22,16,30,4,1,2
1,5,22,14,30,4,1,1.11718
2,5,22,14,30,4,1.676413,2.062363
3,10,22,14,30,4,1.676413,2.36754
4,10,22,14,30,4,1.676413,2.672717
5,10,22,10,29.34974,4,4.44959,-1.877831
6,10,22,8,29.34974,4,4.44959,-1.815467
7,10,22,10,28.69948,2.392011,10.12922,-5.302745
8,5,22,10,28.69948,1,12.35927,-5.302745
9,5,22,10,28.69948,1,14.69137,-5.302745
10,5,22,13,28.69948,1,14.87115,-5.302745
11,10,22,10,28.04922,1,20.47306,-8.727659
12,5,22,6,28.69948,1,17.02347,-5.178018
13,10,22,11,28.04922,1,22.30853,-8.665295
14,10,22,9,28.04922,1,22.30853,-8.602932
15,10,22,7,28.04922,1,22.30853,-8.540567
16,10,22,5,28.04922,1,22.30853,-8.478205
17,10,22,3,28.04922,1,22.30853,-8.41584
18,5,22,1,28.69948,1,18.85894,-4.866199
19,5,22,2,28.69948,1,20.69441,-4.866199
20,10,22,7,28.04922,1,25.97947,-8.353477
21,10,22,5,28.04922,1,25.97947,-8.291113
22,5,22,1,28.69948,1,22.52987,-4.741472
23,5,22,3,28.04922,1,28.20951,-8.228749
24,5,22,8,30.06031,1,30.04498,-8.291113
25,5,22,4,28.04922,1,30.04498,-8.166386
26,10,22,8,29.41005,1,33.49457,-11.41085
27,10,22,6,29.41005,1,33.49457,-11.34849
28,5,22,2,30.06031,1,30.04498,-7.798845
29,5,22,7,32.07141,1,31.88045,-7.861209
30,10,22,5,29.41005,1,35.33004,-11.22376
31,5.1,22,5,29.41005,1,36.00645,-11.22376
32,5.1,22,5,29.41005,1,36.68287,-11.22376
33,5.1,22,5,29.41005,1,36.68287,-10.91858
34,5,22,4,29.41005,1,37.1655,-10.79385
35,5,22,7,29.41005,1,39.00097,-10.79385
36,10,22,4,28.75979,1,40.61509,-13.91359
37,5,22,1,29.41005,1,37.1655,-10.36395
38,10,22,4,28.10953,1,44.06468,-17.03333
39,5,22,1,28.75979,1,40.61509,-13.48369
40,10,22,4,27.45927,1,47.51427,-20.15307
41,5,22,4,28.00403,1.84398,44.06468,-16.66579
42,5,22,2,27.45927,1,47.51427,-19.78553
43,10,22,7,26.80901,1,52.79933,-23.2728
44,10,22,5,26.80901,1,52.79933,-23.21044
45,10,22,3,26.80901,1,52.79933,-23.14808
46,5,22,1,27.45927,1,49.34974,-19.59844
47,5,22,2,27.45927,1,51.18521,-19.59844
48,5,22,5,27.45927,1,53.02068,-19.59844
49,5,22,1,27.45927,1,51.18521,-19.2309
50,5,22,3,27.45927,1,53.02068,-19.2309
51,5,22,1,27.45927,1,51.18521,-18.86336
52,10,22,4,26.80901,1,56.47026,-22.35064
53,10,22,2,26.80901,1,56.47026,-22.28827
54,10,22,4,26.15875,1,59.91985,-25.47037
55,10,22,2,26.15875,1,59.91985,-25.40801
56,10,22,1,26.15875,1,59.91985,-25.34565
57,5,22,1,28.8201,1,56.47026,-21.85837
58,10,22,1,28.8201,1,56.47026,-21.5532
59,5,22,7,26.15875,1,63.59079,-25.28329
60,10,22,1,28.16984,1,62.1499,-24.97811
61,5,22,4,28.8201,1,60.53578,-21.49083
62,5,22,1,28.16984,1,62.1499,-24.61057
63,10,22,4,27.51958,1,67.43496,-28.09785
64,5,22,10,28.16984,1,67.65631,-24.67293
65,10,22,4,26.86932,1,70.88455,-31.21758
66,10,22,2,26.86932,1,70.88455,-31.15522
67,10,22,5,26.86932,1,72.72002,-31.15522
68,10,22,3,26.86932,1,72.72002,-31.09286
69,5,22,6,29.53068,1,71.1059,-27.66794
70,10,22,3,26.21906,1,76.16962,-34.21259
71,5,22,1,26.86932,1,72.72002,-30.66295
72,10,22,4,26.21906,1,78.00509,-34.15023
73,10,22,1,26.21906,1,76.16962,-33.78269
74,10,22,4,25.5688,1,81.45468,-37.26997
75,10,22,2,25.5688,1,81.45468,-37.20761
76,10,22,5,25.5688,1,83.29015,-37.20761
77,10,22,2,24.91854,1,84.90427,-40.32735
78,10,22,2,24.91854,1,84.90427,-40.02217
79,10,22,1,24.26828,1,88.35387,-43.6899
80,10,22,2,24.26828,1,88.35387,-43.14191
81,10,22,1,24.26828,1,88.35387,-43.07955
82,10,22,2,23.61802,1,91.80346,-46.26165
83,10,22,1,23.61802,1,91.80346,-46.19929
84,5,22,1,23.61802,1,91.80346,-45.89411
